Index,LAT_Final,LON_Final,Address1Country
1974,31.22222,121.45806,CN
8717,23.01797,113.74866,CN
12925,31.763131,117.205435,CN
13881,21.31992,110.5723,CN
25266,41.79222,123.43278,CN
29596,31.22222,121.45806,CN
29673,21.31992,110.5723,CN
30092,39.14222,117.17667,CN
31367,31.22222,121.45806,CN
32054,41.7173733,83.0409789,CN
32117,35.70278,115.00528,CN
32174,36.06488,120.38042,CN
32537,31.22222,121.45806,CN
32657,31.30408,120.59538,CN
32837,22.54554,114.0683,CN
33370,37.47649,121.44081,CN
33377,30.58333,114.26667,CN
33730,31.80892,120.37637,CN
33853,37.4635299,121.44801,CN
34033,30.45143,114.87035,CN
34093,30.8703,120.0933,CN
34754,33.55652,114.06098,CN
36435,33.9912373,113.8598493,CN
36974,31.46784,104.68168,CN
37063,30.01102,120.57153,CN
37120,35.50222,112.83278,CN
37755,23.11667,113.25,CN
37995,31.413536,118.3684451,CN
38055,36.0662299,120.38299,CN
38175,39.9075,116.39723,CN
38342,22.54554,114.0683,CN
38355,30.58333,114.26667,CN
38655,34.88516,109.60214,CN
38715,31.22222,121.45806,CN
38895,31.22222,121.45806,CN
38923,31.22222,121.45806,CN
39070,31.22222,121.45806,CN
39313,30.66667,104.06667,CN
39433,38.91222,121.60222,CN
39613,31.22222,121.45806,CN
39617,31.22222,121.45806,CN
39677,31.22222,121.45806,CN
40653,22.81667,108.31667,CN
40994,28.87239,105.44049,CN
41237,31.86389,117.28083,CN
41414,39.9075,116.39723,CN
41464,31.56887,120.28857,CN
41470,31.22222,121.45806,CN
41537,30.66667,104.06667,CN
41834,21.83894,111.89509,CN
41950,31.22222,121.45806,CN
42014,39.9075,116.39723,CN
42070,31.22222,121.45806,CN
42075,36.19061,120.09257,CN
42130,22.27694,113.56778,CN
42190,32.03028,120.87472,CN
42254,31.22222,121.45806,CN
42314,22.54554,114.0683,CN
42315,30.58333,114.26667,CN
42434,26.71472,112.38389,CN
42494,34.75778,113.64861,CN
42499,21.31992,110.5723,CN
42559,30.29365,120.16142,CN
42679,39.975462,116.49358,CN
42733,34.20442,117.28386,CN
42793,31.31139,120.61806,CN
43099,20.04583,110.34167,CN
43213,39.66472,106.81222,CN
43457,31.22222,121.45806,CN
43513,23.11667,113.25,CN
43517,31.30408,120.59538,CN
43635,31.22222,121.45806,CN
43870,31.30408,120.59538,CN
43877,31.22222,121.45806,CN
44177,30.01102,120.57153,CN
44989,23.5418,116.36581,CN
45334,28.2,112.96667,CN
45554,31.22222,121.45806,CN
45794,31.22222,121.45806,CN
46274,29.87819,121.54945,CN
46755,31.22222,121.45806,CN
47535,22.27694,113.56778,CN
47835,30.8703,120.0933,CN
49792,31.78333,119.96667,CN
49879,38.46806,106.27306,CN
50179,31.22222,121.45806,CN
50959,39.9075,116.39723,CN
51015,31.22222,121.45806,CN
51019,30.74732,115.1648,CN
51319,31.22222,121.45806,CN
51412,27.73444,111.99444,CN
51673,37.4635299,121.44801,CN
51853,30.45143,114.87035,CN
51929,26.35722,117.19778,CN
52519,31.22222,121.45806,CN
52639,30.66667,104.06667,CN
52759,34.25833,108.92861,CN
52993,30.8703,120.0933,CN
53173,38.91222,121.60222,CN
53179,28.66266,121.43312,CN
53359,30.29365,120.16142,CN
53533,34.20442,117.28386,CN
53599,29.31506,120.07676,CN
55037,35.70278,115.00528,CN
55443,36.06605,120.36939,CN
55450,37.47649,121.44081,CN
55577,31.22222,121.45806,CN
55697,31.30408,120.59538,CN
55937,22.54554,114.0683,CN
56117,31.22222,121.45806,CN
57790,31.80892,120.37637,CN
58037,30.58333,114.26667,CN
58143,36.718393,117.049156,CN
58203,32.1679137,118.8767109,CN
58390,31.22222,121.45806,CN
58683,31.22222,121.45806,CN
